Year,Country Index,Country,Region Index,Region,Province / State,City,Latitude,Longitude,Multiple Attack,Success Attack,Suicide,Attack Type Index,Attack Type,Target Type Index,Target Type,Weapon Type Index,Weapon Type,Total No. of Fatalities,Total No. of Injured,Total No. of Hostages/Kidnapping Victims
2007,95,Iraq,10,Middle East & North Africa,Kirkuk,Kirkuk,35.45211,44.375465,0,1,0,3,Bombing/Explosion,19,Transportation,6,Explosives,0,7,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Baiji,34.92485,43.491413,0,1,0,2,Armed Assault,3,Police,5,Firearms,2,6,
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Habbaniyah,33.382431,43.587631,0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,35,60,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,4,7,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,3,Police,6,Explosives,2,5,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,10,,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,8,Educational Institution,6,Explosives,41,,
2007,95,Iraq,10,Middle East & North Africa,Unknown,Unknown,,,0,1,0,3,Bombing/Explosion,2,Government (General),6,Explosives,5,2,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,3,Police,6,Explosives,2,1,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,18,,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,4,Military,6,Explosives,1,3,
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,8,28,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,1,Business,6,Explosives,1,3,
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,1,3,Bombing/Explosion,1,Business,6,Explosives,5,4,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,5,10,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,1,Business,6,Explosives,2,11,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Baiji,34.92485,43.491413,0,1,0,2,Armed Assault,3,Police,5,Firearms,2,2,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,1,2,
2007,95,Iraq,10,Middle East & North Africa,Diyala,Muqdadiyah,33.953167,44.921906,0,1,0,2,Armed Assault,2,Government (General),5,Firearms,2,0,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,4,20,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,10,7,
2007,95,Iraq,10,Middle East & North Africa,Diyala,Baqubah,33.74324,44.623825,0,1,0,6,Hostage Taking (Kidnapping),3,Police,5,Firearms,14,0,18
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Fallujah,33.349159,43.784199,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,10,7,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0,,
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Fallujah,33.349159,43.784199,0,1,0,3,Bombing/Explosion,3,Police,6,Explosives,7,6,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,1,Business,6,Explosives,10,17,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,6,Hostage Taking (Kidnapping),2,Government (General),13,Unknown,14,0,14
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Ramadi,33.420948,43.295662,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,13,20,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,31,65,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,7,14,
2007,95,Iraq,10,Middle East & North Africa,Babil,Hillah,32.469238,44.416637,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,92,200,
2007,95,Iraq,10,Middle East & North Africa,Diyala,Balad Ruz,33.693947,45.067425,0,1,1,3,Bombing/Explosion,1,Business,6,Explosives,31,25,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,10,23,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,4,Military,6,Explosives,29,40,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,31,39,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,19,Transportation,6,Explosives,11,8,
2007,95,Iraq,10,Middle East & North Africa,Diyala,Unknown,33.773349,45.14945,0,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary,20,,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,29,33,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,32,24,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Tuz Khormato,34.881348,44.62513,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,8,25,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,1,Assassination,2,Government (General),5,Firearms,3,0,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,1,Assassination,2,Government (General),5,Firearms,2,1,
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Ramadi,33.420948,43.295662,1,1,1,3,Bombing/Explosion,4,Military,2,Chemical,2,2,
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Amriyat al-Fallujah,33.163559,43.863106,1,1,1,3,Bombing/Explosion,3,Police,2,Chemical,2,100,
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Albu Issa,33.520717,44.024424,1,1,1,3,Bombing/Explosion,3,Police,2,Chemical,1,250,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,,,
2007,95,Iraq,10,Middle East & North Africa,Diyala,Khan Bani Saad,33.571807,44.536067,0,1,0,2,Armed Assault,14,Private Citizens & Property,5,Firearms,3,,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,3,10,
2007,95,Iraq,10,Middle East & North Africa,Kirkuk,Kirkuk,35.45211,44.375465,0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,13,50,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,5,25,
2007,95,Iraq,10,Middle East & North Africa,Basra,Basra,30.510054,47.778095,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0,0,
2007,95,Iraq,10,Middle East & North Africa,Babil,Hillah,32.469238,44.416637,0,1,0,2,Armed Assault,14,Private Citizens & Property,5,Firearms,3,4,
2007,95,Iraq,10,Middle East & North Africa,Babil,Iskandariyah,32.887157,44.341637,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,2,0,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,2,Armed Assault,3,Police,9,Melee,9,0,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,7,20,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,4,21,
